date;hashtag;tweet;username;intent;emotion
22/05/2020 14:27;['#indonesiaterserah'];wes ng omah sui2 g gunaindonesiaterserah;halo kaleaan;negative;anger
22/05/2020 14:27;['#pdip', '#mesuji', '#lampung', '#bansos'];pdip mesuji salurkan paket sembako untuk warga terdampak pdip mesuji lampung bansos ;haluan lampung;positive;love
22/05/2020 14:26;['#indonesiamelawancovid19', '#indonesiaterserah'];pemerintah selain harus mengangani corono yang perlu diperhatikan mengatasi kebodohan masyarakatnya indonesiamelawancovid19 indonesiaterserah;lukman hakim;negative;anger
22/05/2020 14:24;['#coronaindonesia', '#indonesiaterserah', '#dirumahaja', '#coronavirus', '#covid19'];masih rentan nggakatau mungkin kita belum baikbaik sajapasien boleh saja sembuh tapi kenapa rumah sakit masih kisruhmalmal boleh saja dibuka tapi kenapa masjid ditutupcoronaindonesia indonesiaterserah dirumahaja coronavirus covid19 pictwittercomcoqrsvq5cu;sayed halik;negative;sad
22/05/2020 14:24;['#indonesiaterserah', '#terserahindonesia', '#covid', '#covid_19', '#covididiots', '#konspirasi'];terima kasih covid berkat dirimu hadir di bulan puasa ini kita sebagai lelaki pencari wanita menjelang buka jadi tidak bisa melihat keindahan paras wajahnya karena masker sudah menutupi semuanyaindonesiaterserah terserahindonesia covid covid19 covididiots konspirasi;faisamuhammad;negative;sad
22/05/2020 14:24;['#indonesiaterserah', '#indonesiajanganterserah', '#dong'];some people lebaran tahun ini di rumah aja nggk kemanamana tetep kembali ke fitri kokmost people belanja baju baru jalanjalan ke rumah sodara minggu depan kena corona bodi amat yg penting besok lebaran indonesiaterserah indonesiajanganterserah dong;yudisthi;negative;sad
22/05/2020 14:21;['#indonesiaterserah'];td lewat lg dr supermarket yg kemaren viral krna karyawannya positif covid udah dibuka lagi cuy emg ya manusia2 ini pada bebal semuanya indonesiaterserah;yohanacsitohang;negative;anger
22/05/2020 14:17;['#indonesiaterserah'];gw nggak pahammm gw nggak ngertiiiii indonesiaterserah ;patrickk;negative;anger
22/05/2020 14:16;['#bukantidaknurutpemerintah', '#indonesiaterserah', '#orangdesasusahwfh'];nih hampir 2 bulan sepi dan gak ada tanda2 keramaian di pasar tapi tiba2 mereka semua ke pasar saat h2 lebaran mereka semua kemarin2 sudah nurut ke pemerintah tapi kita orang desa butuh uang untuk makan keluarga bukantidaknurutpemerintah indonesiaterserah orangdesasusahwfh pictwittercompudq05unk8;yovan ananta;negative;anger
22/05/2020 14:15;['#indonesiaterserah'];woooo melu gerakan indonesiaterserah dongg;bangku kosongnya;negative;anger
22/05/2020 14:14;['#indonesiaterserah', '#covid19indonesia', '#coronaupdate'];mahasiswa indo yg dipulangin dari wuhan nyesel balik ke indo gak ya indonesiaterserah covid19indonesia coronaupdate;achmad yusuf t;negative;
22/05/2020 14:12;['#indonesiaterserah', '#indonesiamelawancovid19'];indonesiaterserah udah diatur sedemikian rupa para kepala daerah sudah membuat prosedur yang lengkap kok masih bandel tolong dong sadarkan mereka dunia tidak sesempit otak mereka indonesiamelawancovid19 pictwittercom01qxfgswtg;catatan pakebo;negative;anger
22/05/2020 14:11;['#indonesiaterserah', '#payakumbuhhebat'];pengen pindah kewarganegaraan aja tpi gue cuma lancar bahasa minang doang indonesiaterserah payakumbuhhebat pictwittercombr7z5e3xh6;dhovan septiawan;negative;anger
22/05/2020 14:10;['#awpi', '#dppawpi', '#awpilampung', '#lampung', '#bansos'];asosiasi wartawan profesional indonesia bagikan 1 ton beras awpi dppawpi awpilampung lampung bansos ;haluan lampung;positive;love
22/05/2020 14:06;['#lebaran', '#idulfitri', '#1syawal1441h', '#bansos', '#bantuan', '#cekbansossikskemsosgoid', '#kemensos', '#mensos', '#bantuansosial', '#aplikasibansos', '#cekbansos', '#pemerintah', '#covid19', '#viruscorona'];lebaran idulfitri 1syawal1441h bansos bantuan cekbansossikskemsosgoid kemensos mensos bantuansosial aplikasibansos cekbansos pemerintah covid19 viruscorona via tribunkaltim;tribunkaltimco;positive;love
22/05/2020 14:05;['#indonesiaterserah'];saat ini indonesia sedang bertarung dengan dua pandemi covid19 dan kebodohan masyarakat indonesiaterserah;n d u l;negative;anger
22/05/2020 14:05;['#coronaviruslockdown', '#irene', '#indonesiajanganterserah', '#indonesiaterserah'];pedagang pasar dikota gua njircapek2 gua ga keluar rumah coronaviruslockdownireneindonesiajanganterserahindonesiaterserah pictwittercom2cbs8zbhdn;sedikitpintar;negative;anger
22/05/2020 14:05;['#indonesiaterserah'];kesel deh ama indonesiaterserah ntar para medis gak mau nanganin dan pada ikutan pulang kerumahnya gak mau ngurusin lagi baru nyahok lu pada;wils;negative;anger
22/05/2020 14:04;['#indonesiaterserah'];yang dilarang mudik nyabukan transportasinyabukan pelonggaran psbb tapi pengurangan psbbindonesiaterserah;daboribo;negative;anger
22/05/2020 14:04;['#indonesiaterserah'];pemerintah emang kayak ngasih pilihan terbuka aja ga sii dari awalsebelum ada teriak indonesiaterserah mereka udah duluan ;yolanda cenderakasih;negative;
