date;hashtag;tweet;username;intent;emotion;Rand
07/07/2020 12:14;['#bansos', '#pandemic', '#koransindo'];politisasi bansos covid19 jelas tidak pantas apalagi agar menang pilkada atuser awasi lebih ketat bansos pandemic koransindo atuser ;pung purwanto;negative;anger;0,921356957
29/05/2020 10:19;['#bansos', '#bantuansosial', '#dtks', '#kemensos', '#sumedang', '#jabar', '#indonesia', '#kementeriansosial', '#news', '#ruberid']; bansos bantuansosial dtks kemensos sumedang jabar indonesia kementeriansosial news ruberid;ruang berita;positive;love;0,661205269
24/05/2020 00:55;['#indonesiaterserah'];aku team di rumah aja indonesiaterserah;abdul latief;positive;;0,184286958
26/05/2020 07:46;['#indonesiaterserah', '#covidiot']; kemarin yg semangat buka akses dan yakin ada zona hijau indonesiaterserah covidiot;omgcorona;positive;;0,915331703
13/07/2020 23:38;['#kemendagri', '#pilkada2020', '#bansos'];tito ingatkan calon petahana tidak manfaatkan bansos corona dengan gambar diri kemendagri pilkada2020 bansos atuser atuser atuser atuser atuser atuser ;republik merdeka banten;negative;anger;0,16394874
01/06/2020 17:01;['#bacotsantuy', '#disiplinprotokolnewnormal', '#covid19', '#dirumahaja', '#kebijakansemrawut', '#kebohonganbaru', '#indonesiaterserah', '#italia'];telah beredar informasi fakta atau hoax di media sosial whatsapp yang tahu informasi ini kongkrit atau tidak nya tolong disebarkan part i bacotsantuy disiplinprotokolnewnormal covid19 dirumahaja kebijakansemrawut kebohonganbaru indonesiaterserah italia ;kaum elit global aliran kiri;negative;fear;0,884052952
31/05/2020 15:37;['#jumatambyar', '#indonesiaterserah'];perih ini belum cukup sampe mata jadi korban selanjutnya jumatambyar indonesiaterserah ;emleam;negative;anger;0,503759778
21/06/2020 07:33;['#indonesiaterserah'];sakit perut aku liat antrian gbk dan cfd di instagram yakin itu pada mau sehat indonesiaterserah;shinta rosvita;negative;anger;0,407786612
31/05/2020 13:59;['#indonesiaterserah', '#kebijakansemrawut', '#dirumahaja'];pns dpt bantuan alhamdulillah kita yang pasan masih dianggap mampu indonesiaterserah kebijakansemrawut dirumahaja;lupanama;negative;anger;0,870556376
08/06/2020 14:24;['#indonesiaterserah'];bayangin kalau semua tenaga medis pada resign karena susah payahnya mereka nyembuhin orang yang kemudian tidak dihargai oleh kita yang tidak peduli dengan kesehatan diri bayangin ajadulu indonesiaterserah;banyak kalimat;negative;sad;0,744099644
