date;hashtag;tweet;username;intent;emotion
14/07/2020 22:00;['#kepolisian', '#bansos', '#covid19'];kepolisian ri menemukan ada 55 kasus dugaan penyelewengan dana bantuan sosial covid19 ke55 kasus itu tengah ditangani oleh 12 kepolisian daerah kepolisian bansos covid19 ;tempoco;negative;
14/07/2020 17:23;['#kemensoshadir', '#juliaribatubara', '#bansos']; sebagai bagian dari ikhtiar pengawasan kemensos meminta polri kpk untuk bersama meminta proses penyaluran bansos terutama di dki jakarta bodetabek sekaligus melakukan dialog secara langsung dgn para penerima bansos katanya kemensoshadir juliaribatubara bansos;satriya mudha;positive;love
14/07/2020 17:08;['#terdampakcovid19', '#bansos', '#bagikansembako', '#beritapesbar', '#beritalampung'];pemerintah kabupaten pesisir barat memberikan bantuan 25820 kg beras yang akan dibagikan kepada masyarakat terdampak covid19 di 11 kecamatan terdampakcovid19 bansos bagikansembako beritapesbar beritalampung ;lampung post official;positive;love
14/07/2020 17:02;['#bansos', '#covid19'];polisi menyelidiki dugaan pemotongan dana bantuan sosial bansos terkait covid19 total mencapai 55 kasus tersebar di 12 provinsi modusnya bervariasi pemotongan untuk uang lelah hingga pengurangan timbangan sembako bansos covid19 ;detikcom;negative;
14/07/2020 16:59;['#prakerja', '#kartuprakerja'];tanggal 3 july belu di proses ampe sekarang pak atuser atuser atuser korban phk corona butuh uang buat beli beras makan sehari hari pak prakerja kartuprakerja ;heru chibi;negative;sad
14/07/2020 16:48;['#garagaracorona'];barusan adek ogut curhat katanya belajar via daring kurang asik ogut cuma bisa bilang semua akan indah pada waktunya garagaracorona;azisah suci ayulia;negative;sad
14/07/2020 12:48;['#kemensoshadir', '#juliaribatubara', '#kabinetindonesiamaju', '#bansos'];mensos audit keras vendor penyedia komoditas bansos sembako cc atuser atuser atuser atuser kemensoshadir juliaribatubara kabinetindonesiamaju bansos;satriya mudha;positive;
14/07/2020 12:45;['#kemensoshadir', '#juliaribatubara', '#kabinetindonesiamaju', '#bansos'];pastikan bansos tepat sasaran mensos audit ketat vendor penyedia komoditas sembako cc atuser atuser atuser kemensoshadir juliaribatubara kabinetindonesiamaju bansos;satriya mudha;positive;
14/07/2020 11:30;['#featured', '#kotatangerang', '#bansos', '#covid19', '#sachrudin']; kota tangerang wakil wali kota tangerang sachrudin meninjau langsung proses distribusi bantuan sosial bansos tahap i gelombang 4 bagi masyarakat featured kotatangerang bansos covid19 sachrudin selengkapnya ;pelita banten;positive;
14/07/2020 11:14;['#indonesiaviral', '#diskriminasi', '#politik', '#kecurangan', '#indonesiaterserah'];masa pandemi gini masih aja main diskriminasi ras indonesiaviral diskriminasi politik kecurangan indonesiaterserah;susi puk;negative;anger
